"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE969640623317";"WEA 1329";"In Betrieb";"Wind";"600";"600";"19.8.1999";"25.11.2020";"Mecklenburg-Vorpommern";"17121";"Görmin";"Koppelweg";"1";"";"";"13075036";"53,991381";"13,297257";"";"";"WP Görmin";"65";"47";"Vestas Deutschland GmbH";"V47";"";"";"Horizontalläufer";"Windkraft an Land";"2.6.2021";"";"";"Vela Schrauben GmbH";"ABR923442961503";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL990062268046";"EEG987999960105";"E41860010000000000602127988100005";"19.8.1999";"600";"";"";"";"";""
"SEE989415414537";"WEA 1330";"In Betrieb";"Wind";"600";"600";"19.8.1999";"25.11.2020";"Mecklenburg-Vorpommern";"17121";"Görmin";"Koppelweg";"1";"";"";"13075036";"53,996386";"13,301423";"";"";"WP Görmin";"65";"47";"Vestas Deutschland GmbH";"V47";"";"";"Horizontalläufer";"Windkraft an Land";"2.6.2021";"";"";"Vela Schrauben GmbH";"ABR923442961503";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL990062268046";"EEG963043376597";"E41860010000000000602127988100006";"19.8.1999";"600";"";"";"";"";""
"SEE961696462445";"ZLS05_84438";"In Betrieb";"Wind";"2400";"2400";"16.12.2015";"25.11.2020";"Rheinland-Pfalz";"56288";"Zilshausen";"";"";"Zilshausen";"Flur 7 Flurstück 77/1";"07140504";"50,10988";"7,399037";"";"";"WP Zilshausen";"140,6";"117";"Nordex Energy GmbH";"N117";"";"";"Horizontalläufer";"Windkraft an Land";"15.2.2021";"";"";"Zilshausen Wind GmbH & Co.KG";"ABR992508534210";"Volleinspeisung";"SGE994522195569";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL960431707384";"EEG908548364243";"E31238010000000000000037407091675";"16.12.2015";"2400";"";"";"";"";""
"SEE979371276904";"WP Neuenwalde Anlage 3 (120004)";"In Betrieb";"Wind";"5075";"5075";"20.12.2006";"25.11.2020";"Niedersachsen";"27607";"Geestland";"";"";"Neuenwalde";"16, Flurstück 14";"03352062";"53,657637";"8,721519";"";"";"WP Neuenwalde";"117";"126";"Senvion Deutschland GmbH";"5M";"";"";"Horizontalläufer";"Windkraft an Land";"15.9.2022";"";"";"Alterric Deutschland GmbH";"ABR927397646904";"Volleinspeisung";"SGE917331291154";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL925469751556";"EEG923764470363";"E206001HRA0000INDUSTRIE0000500003";"20.12.2006";"5075";"";"";"";"";""
"SEE967779840810";"WP Neuenwalde Anlage 4 (120005)";"In Betrieb";"Wind";"5075";"5075";"22.12.2006";"25.11.2020";"Niedersachsen";"27607";"Geestland";"";"";"Neuenwalde";"15, Flurstück 11/2 und 11/1";"03352062";"53,652991";"8,725164";"";"";"WP Neuenwalde";"117";"126";"Senvion Deutschland GmbH";"5M";"";"";"Horizontalläufer";"Windkraft an Land";"15.9.2022";"";"";"Alterric Deutschland GmbH";"ABR927397646904";"Volleinspeisung";"SGE924574548150";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL925469751556";"EEG961269196067";"E206001HRA0000INDUSTRIE0000500002";"22.12.2006";"5075";"";"";"";"";""
"SEE943917481107";"WP Neuenwalde Anlage 5 (600112)";"In Betrieb";"Wind";"6150";"6150";"18.12.2014";"25.11.2020";"Niedersachsen";"27607";"Geestland";"";"";"Neuenwalde";"15, Flurstück 40";"03352062";"53,650525";"8,711992";"";"";"WP Neuenwalde";"124";"152";"Senvion Deutschland GmbH";"6M152";"";"";"Horizontalläufer";"Windkraft an Land";"15.9.2022";"";"";"Alterric Deutschland GmbH";"ABR927397646904";"Volleinspeisung";"SGE964145478400";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL925469751556";"EEG950240885182";"E206001HRA0000INDUSTRIE0000500004";"18.12.2014";"6150";"";"";"";"";""
"SEE928850834142";"WEA Weeze-Wemb 70424";"In Betrieb";"Wind";"1500";"1500";"7.2.2007";"25.11.2020";"Nordrhein-Westfalen";"47652";"Weeze";"";"";"Weeze-Wemb";"Flur 43 Flurstück 37";"05154064";"51,566076";"6,177972";"";"";"WP Weeze-Wemb";"100";"77";"Nordex Energy GmbH";"Nordex S77";"";"";"Horizontalläufer";"Windkraft an Land";"11.5.2022";"";"";"SK Wind GmbH & Co. KG";"ABR915861801041";"Volleinspeisung";"SGE902015360806";"Westnetz GmbH (SNB921897286493)";"SNB921897286493";"Geprüft";"Mittelspannung";"SEL931118552191";"EEG969509621041";"E31238010000000000000058508435286";"7.2.2007";"1500";"";"";"";"";""
"SEE992653386757";"Alsleben 15552290 WEA 40";"In Betrieb";"Wind";"1500";"1500";"8.12.2005";"25.11.2020";"Sachsen-Anhalt";"06425";"Alsleben";"";"";"Alsleben";"Flur 2: Flurstück 1009";"15089005";"51,712782";"11,64647";"";"";"Windpark Alsleben";"96";"77";"GE Wind Energy GmbH";"GE1.5sL";"";"";"Horizontalläufer";"Windkraft an Land";"24.6.2021";"";"";"Windpark Alsleben GmbH & Co. KG";"ABR921700805217";"Volleinspeisung";"SGE985349456407";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL991008955525";"EEG902570749450";"E41081010000000000000000000005458";"8.12.2005";"1500";"";"";"";"";""
"SEE949233334981";"WEA 2804-1";"In Betrieb";"Wind";"600";"600";"1.10.1997";"25.11.2020";"Sachsen-Anhalt";"06347";"Gerbstedt";"";"";"Hübitz";"88 / 17";"15087165";"51,587782";"11,552989";"";"";"WP Hübitz";"63";"44";"Vestas Deutschland GmbH";"V44";"";"";"Horizontalläufer";"Windkraft an Land";"19.1.2024";"";"";"Vela Schrauben GmbH";"ABR968565064304";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL938396682459";"EEG985464024703";"E41081010000000000000000000013764";"1.10.1997";"600";"";"";"";"";""
"SEE937486604340";"WEA 2743-2";"In Betrieb";"Wind";"600";"600";"1.10.1997";"25.11.2020";"Sachsen-Anhalt";"06347";"Gerbstedt";"";"";"Hübitz";"88 / 17";"15087165";"51,585791";"11,553123";"";"";"WP Hübitz";"63";"44";"Vestas Deutschland GmbH";"V44";"";"";"Horizontalläufer";"Windkraft an Land";"8.5.2024";"";"";"Vela Schrauben GmbH";"ABR968565064304";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL938396682459";"EEG934357255342";"E41081010000000000000000000013765";"1.10.1997";"600";"";"";"";"";""
